long,points,PTS,pa,PA,ab,AB,singles,1B,doubles,2B,triples,3B,home_runs,HR,walks,BB,strikeouts,K,sb,SB,cs,CS,runs,R,rbi,RBI,hbp,HBP,outs,O
6234 -- paul goldschmidt -- ARI -- 1B,9.79724,10.07200,4.38000,4.59600,3.62000,3.85000,0.66721,0.67100,0.23390,0.25200,0.01045,0.00800,0.19091,0.19100,0.71169,0.74600,0.91462,0.96800,0.16000,0.17700,0.04000,0.03600,0.60000,0.66700,0.64000,0.59300,0.00500,0.00000,1.63156,2.72800
6197 -- anthony rizzo -- CHC -- 1B,8.94982,8.57100,4.46000,4.39800,3.80000,3.94000,0.65210,0.66600,0.26210,0.24900,0.02095,0.01900,0.16777,0.16200,0.47887,0.45800,0.70081,0.72900,0.13000,0.11400,0.06000,0.05700,0.63000,0.60000,0.49000,0.49200,0.05500,0.00000,1.99925,2.84400
6195 -- mike trout -- LAA -- OF,8.91724,9.15400,4.41000,4.49900,3.77000,4.03200,0.52967,0.56800,0.20411,0.22700,0.01909,0.01400,0.23504,0.24500,0.49226,0.46700,1.11037,1.16600,0.11000,0.10300,0.04000,0.03400,0.52000,0.57700,0.62000,0.60900,0.03500,0.00000,1.46242,2.97800
1425 -- jacoby ellsbury -- NYY -- OF,8.87700,8.57800,4.82000,4.84000,4.34000,4.48000,0.88235,0.87000,0.18585,0.16200,0.04375,0.05000,0.05947,0.07400,0.38301,0.36000,0.67773,0.73300,0.32000,0.32000,0.06000,0.05200,0.62000,0.53800,0.42000,0.36300,0.01500,0.00000,2.24833,3.32400
6286 -- charlie blackmon -- COL -- OF,8.73966,8.13700,4.56000,4.60200,4.17000,4.34500,0.92275,0.92800,0.16234,0.16600,0.02526,0.03000,0.08979,0.08100,0.24988,0.25700,0.69776,0.69800,0.29000,0.27900,0.10000,0.10600,0.71000,0.55600,0.40000,0.33200,0.04500,0.00000,2.28203,3.14000
3127 -- cameron maybin -- ATL -- OF,8.70198,0.00000,4.63000,0.00000,4.22000,0.00000,0.84611,0.00000,0.21122,0.00000,0.05739,0.00000,0.08719,0.00000,0.35327,0.00000,0.77600,0.00000,0.18000,0.00000,0.07000,0.00000,0.67000,0.00000,0.47000,0.00000,0.01500,0.00000,2.21983,0.00000
5756 -- andrew mccutchen -- PIT -- OF,8.66097,8.61600,4.38000,4.30500,3.70000,3.80100,0.65667,0.68900,0.25531,0.25300,0.03636,0.03900,0.12441,0.14900,0.51469,0.50400,0.62642,0.60100,0.07000,0.07000,0.02000,0.02100,0.60000,0.56000,0.63000,0.52300,0.04000,0.00000,1.78991,2.67100
5033 -- troy tulowitzki -- COL -- SS,8.62888,7.93900,4.34000,4.38400,3.80000,3.94700,0.85984,0.85000,0.18797,0.18100,0.00842,0.00900,0.14692,0.13200,0.41647,0.43700,0.74490,0.78700,0.00000,0.00000,0.00000,0.00000,0.67000,0.56900,0.68000,0.54000,0.02000,0.00000,1.84002,2.77500
6235 -- a.j. pollock -- ARI -- OF,8.58955,8.96100,4.49000,4.69800,4.12000,4.34600,0.76680,0.76800,0.22415,0.26200,0.04182,0.05000,0.10909,0.11300,0.33147,0.35200,0.70585,0.71400,0.24000,0.22500,0.06000,0.03800,0.57000,0.59100,0.42000,0.44100,0.01000,0.00000,2.34275,3.15300
6209 -- bryce harper -- WAS -- OF,8.50014,9.00700,4.18000,4.36700,3.60000,3.91400,0.50355,0.52700,0.19054,0.20100,0.01962,0.01700,0.27164,0.28100,0.45672,0.45300,0.93216,0.96200,0.04000,0.03300,0.04000,0.04800,0.46000,0.59600,0.59000,0.65400,0.01500,0.00000,1.53092,2.88800
9113 -- kris bryant -- CHC -- 3B,8.47116,8.04600,4.35000,4.30100,3.69000,3.76600,0.61258,0.58500,0.21356,0.20900,0.03143,0.03200,0.14128,0.14200,0.51570,0.53500,1.36039,1.32600,0.08000,0.07000,0.02000,0.01300,0.61000,0.58900,0.61000,0.49900,0.03500,0.00000,1.34293,2.79800
6029 -- todd frazier -- CIN -- 1B/3B,8.43981,8.63100,4.39000,4.56800,4.02000,4.29000,0.66391,0.67700,0.24217,0.28400,0.01900,0.02100,0.17494,0.17700,0.25792,0.27800,0.80856,0.83300,0.11000,0.09400,0.05000,0.04000,0.57000,0.55100,0.58000,0.59700,0.03500,0.00000,2.19512,3.13100
1712 -- brett gardner -- NYY -- OF,8.40175,8.00300,4.70000,4.71800,4.17000,4.28200,0.68730,0.69700,0.25090,0.25000,0.07000,0.06900,0.07646,0.07100,0.42038,0.43600,0.90984,0.91000,0.17000,0.14600,0.05000,0.04400,0.56000,0.48500,0.50000,0.45800,0.02500,0.00000,1.94086,3.19500
9075 -- mookie betts -- BOS -- OF,8.30132,7.61500,4.68000,4.55800,4.25000,4.26600,0.74387,0.72600,0.26880,0.24700,0.05069,0.04900,0.08186,0.08300,0.31080,0.29200,0.52349,0.53500,0.16000,0.14600,0.06000,0.05700,0.63000,0.50800,0.46000,0.38200,0.01000,0.00000,2.32108,3.16100
1807 -- adrian gonzalez -- LAD -- 1B,8.24126,7.86300,4.34000,4.36600,3.92000,4.03200,0.68209,0.69200,0.23563,0.23900,0.00000,0.00000,0.18667,0.16700,0.32007,0.33400,0.68565,0.68200,0.01000,0.01600,0.01000,0.01200,0.61000,0.53600,0.62000,0.56300,0.01000,0.00000,2.20285,2.93400
8010 -- jace peterson -- ATL -- 2B/3B,8.24033,8.06000,4.74000,4.88100,4.22000,4.39400,0.83627,0.82600,0.22082,0.21500,0.04783,0.05500,0.05812,0.05800,0.43177,0.48700,0.84145,0.85900,0.16000,0.16900,0.10000,0.08800,0.70000,0.61000,0.38000,0.31200,0.02000,0.00000,2.17891,3.24000
5675 -- buster posey -- SF -- 1B/C,8.23437,8.37600,4.33000,4.34300,3.82000,3.92000,0.83616,0.86200,0.21615,0.23400,0.01063,0.01100,0.10850,0.11700,0.42757,0.42300,0.44283,0.41800,0.01000,0.01000,0.00000,0.00000,0.58000,0.61100,0.69000,0.62200,0.01500,0.00000,2.31325,2.69600
6724 -- starling marte -- PIT -- OF,8.17004,7.38200,4.27000,4.21000,3.87000,3.95500,0.68441,0.65800,0.20803,0.21800,0.05455,0.04800,0.09124,0.09300,0.23896,0.25500,0.93067,0.93200,0.21000,0.15000,0.09000,0.06300,0.50000,0.39500,0.62000,0.54000,0.07000,0.00000,1.65298,2.93800
5054 -- juan uribe -- ATL -- 3B,8.15951,8.71300,4.30000,4.46400,4.01000,4.24500,0.92482,0.94000,0.24963,0.25800,0.00957,0.01000,0.12594,0.15000,0.23551,0.21900,0.73860,0.79000,0.02000,0.01900,0.01000,0.00600,0.52000,0.55000,0.59000,0.70100,0.01500,0.00000,1.92317,2.88700
6998 -- nolan arenado -- COL -- 3B,8.12841,8.05600,4.22000,4.30300,3.95000,4.11100,0.75498,0.76900,0.23069,0.24300,0.02526,0.02000,0.14692,0.15700,0.19435,0.19200,0.53746,0.54400,0.02000,0.02200,0.02000,0.01500,0.58000,0.50300,0.70000,0.66700,0.01500,0.00000,2.24092,2.92200
7081 -- delino deshields -- TEX -- OF,8.09604,8.02500,4.60000,4.66200,3.94000,4.05000,0.70839,0.72700,0.15030,0.12400,0.06250,0.07700,0.02420,0.02300,0.55864,0.61200,1.09893,1.16300,0.35000,0.37400,0.09000,0.08800,0.52000,0.51000,0.34000,0.22000,0.03500,0.00000,1.81386,3.09900
4234 -- alex rodriguez -- NYY -- 3B,8.06894,8.03300,4.59000,4.59700,3.92000,4.04000,0.68730,0.71800,0.17656,0.17600,0.00875,0.00900,0.13593,0.14100,0.53248,0.55700,0.97482,0.97000,0.04000,0.04500,0.01000,0.01300,0.57000,0.51300,0.62000,0.58900,0.03500,0.00000,1.69105,2.99600
7531 -- jose altuve -- HOU -- 2B,8.03064,8.01200,4.55000,4.63900,4.21000,4.33700,0.84547,0.85700,0.21341,0.22900,0.00944,0.01000,0.05198,0.04500,0.26591,0.30200,0.37988,0.38000,0.34000,0.36800,0.08000,0.08500,0.50000,0.45100,0.37000,0.29500,0.01000,0.00000,2.16603,3.19600
7611 -- joe panik -- SF -- 2B,8.02342,7.80400,4.55000,4.54400,4.12000,4.18600,0.97720,0.99500,0.24563,0.23300,0.03188,0.04000,0.04650,0.04800,0.38685,0.35800,0.49315,0.46500,0.03000,0.03200,0.02000,0.01800,0.65000,0.58700,0.47000,0.42000,0.01000,0.00000,2.46113,2.87000
3080 -- victor martinez -- DET -- 1B,8.01760,8.01500,4.48000,4.56900,3.99000,4.19000,0.86140,0.87300,0.23770,0.24600,0.00000,0.00000,0.11180,0.12300,0.37347,0.37900,0.30824,0.29800,0.01000,0.01800,0.00000,0.00000,0.53000,0.54600,0.62000,0.49800,0.01500,0.00000,2.35119,2.94800
