long_id,points,PTS,innings,IP,singles,1B,doubles,2B,triples,3B,home_runs,HR,walks,BB,hbp,HBP,strikeouts,K,outs,O,earned_runs,ER,cg,CG,wins,W,hbp,HBP,nh,NH,cgso,CGSO
4471 -- max scherzer -- WAS -- P,25.70398,22.63275,6.70000,6.25900,3.40218,3.26300,1.16934,1.14600,0.06000,0.07000,0.76120,0.72200,1.13406,1.03900,0.00000,0.00000,7.88377,7.34100,11.61291,11.43600,1.85000,2.09000,0.07900,0.00000,0.57000,0.44800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1109 -- johnny cueto -- CIN -- P,21.90894,21.08105,7.10000,6.31300,3.64592,3.64700,0.88364,0.86800,0.14462,0.16300,0.26037,0.20800,1.40700,1.44600,0.00000,0.00000,5.64818,5.78900,13.89736,13.15000,1.91000,1.47200,0.12100,0.00200,0.49000,0.50800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00200
6044 -- jake arrieta -- CHC -- P,21.81695,21.89665,6.30000,6.26833,3.67820,3.31700,0.92316,0.85800,0.15789,0.15600,0.37000,0.32300,1.26604,1.12200,0.00000,0.00000,6.30956,6.06700,12.36164,12.73800,1.63000,1.47300,0.04800,0.00100,0.50000,0.51700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6454 -- corey kluber -- CLE -- P,21.10356,18.59535,6.90000,6.68767,4.52861,4.39600,1.38482,1.39600,0.13342,0.13600,0.50875,0.47100,1.74057,1.71500,0.00000,0.00000,6.34438,6.09300,13.97407,13.97000,2.15000,2.48400,0.09900,0.00100,0.48000,0.29900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7709 -- jose quintana -- CWS -- P,19.61348,18.64325,6.30000,6.49300,4.40333,4.37100,1.46412,1.35900,0.16261,0.14100,0.63403,0.65900,2.04573,1.93000,0.00000,0.00000,6.66218,6.93900,11.92519,12.54000,2.15000,2.84100,0.04800,0.00200,0.38000,0.22600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00200
2849 -- francisco liriano -- PIT -- P,19.27410,20.04225,5.80000,6.03967,3.24480,3.16300,0.93985,0.91600,0.07091,0.07300,0.48375,0.42100,2.30371,2.20200,0.00000,0.00000,6.23496,6.21000,11.11668,11.90900,1.98000,1.78500,0.04000,0.00000,0.46000,0.41700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9103 -- lance mccullers -- HOU -- P,18.26976,18.00335,5.80000,6.16300,3.65541,3.30200,1.33553,1.17200,0.17654,0.17400,0.40160,0.34700,2.32230,2.17400,0.00000,0.00000,5.94729,5.33100,12.37316,13.15800,1.96000,1.89400,0.04000,0.00000,0.47000,0.39100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6227 -- matt moore -- TB -- P,18.02535,19.09855,5.50000,6.61367,4.02287,3.48600,1.27944,1.08300,0.12750,0.11600,0.73306,0.60200,2.44976,1.93000,0.00000,0.00000,6.77897,5.76400,11.91750,14.07700,2.24000,2.12800,0.04000,0.00000,0.41000,0.31900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7587 -- sonny gray -- OAK -- P,17.86378,16.70115,6.80000,6.17567,4.26382,4.28000,0.89896,0.85300,0.07333,0.06300,0.38034,0.34800,2.16000,2.06700,0.00000,0.00000,5.15358,4.87600,14.30016,13.65100,2.47000,1.98700,0.08900,0.00100,0.41000,0.39800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8465 -- chris heston -- SF -- P,17.57449,17.02660,6.10000,5.80133,4.08606,3.81900,1.22040,1.02300,0.19250,0.16800,0.32047,0.26000,1.48967,1.36400,0.00000,0.00000,4.99747,4.72500,13.00128,12.67900,1.91000,1.77400,0.04000,0.00000,0.49000,0.51300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
